list,order,item,audio,condition,concept,prime,colour_repetition,prime_description,target_description,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,target_pattern,prime_pattern,filler_prime_category,filler_target_category,target_object,distractor1_sameN_sameC_DiffP,distractor2_sameN_DiffC_sameP,distractor4_sameN_DiffC_DiffP,distractor3_DiffNoun_sameC_sameP,distractor6_DiffN_SameC_DiffP,distractor5_repeated_diffN_diffColor_sameP,distractor7_non_repeated_prime_DiffN_DiffC_DiffP,alternative noun,alternative colour,alternative pattern,targetPosition,distractor1_sameN_sameC_DiffP,distractor2_sameN_DiffC_sameP,distractor4_sameN_DiffC_DiffP,distractor3_DiffNoun_sameC_sameP,distractor6_repeated_prime_DiffN_SameC_DiffP,distractor5_repeated_diffN_diffColor_sameP,distractor7_non_repeated_prime_DiffN_DiffC_DiffP,expTrials,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,recordingName
7,3,6,06_CP_AAN_non.mp3,1,CP,AAN,non-repeated,The green striped skirt,red spotted glass,glass_red_spotted,glass,red,spotted,skirt,green,spotted,striped,,,glass_red_spotted,glass_red_striped,glass_green_spotted,glass_green_striped,skirt_red_spotted,skirt_red_striped,skirt_green_spotted,skirt_green_striped,skirt,green,striped,3,5,2,1,7,4,6,8,Y,8,3,glass_green_striped.png,glass_green_spotted.png,glass_red_spotted.png,skirt_red_striped.png,glass_red_striped.png,skirt_green_spotted.png,skirt_red_spotted.png,skirt_green_striped.png,Y_List7_Order3_Item-6_Cond1
8,3,6,06_CP_AAN_rep.mp3,2,CP,AAN,repeated,The green spotted skirt,red spotted glass,glass_red_spotted,glass,red,spotted,skirt,green,spotted,spotted,,,glass_red_spotted,glass_red_striped,glass_green_spotted,glass_green_striped,skirt_red_spotted,skirt_red_striped,skirt_green_spotted,skirt_green_striped,skirt,green,striped,3,5,2,1,7,4,6,8,Y,6,3,glass_green_striped.png,glass_green_spotted.png,glass_red_spotted.png,skirt_red_striped.png,glass_red_striped.png,skirt_green_spotted.png,skirt_red_spotted.png,skirt_green_striped.png,Y_List8_Order3_Item-6_Cond2
1,4,f43,f43.mp3,9,,N,,The tennis racket,fish,,tennisracket,,,tennisracket,,,,noun category,noun category,fishLargeLeft,,,,,,,,,,,,,,,,,,,N,1,5,tennisracketGreyLarge.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,pencilBlueLargeRight.png,fishLargeLeft.png,pencilBlueLargeLeft.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,N_List1_Order4_Item-f43_Cond9
2,4,f43,f43.mp3,9,,N,,The tennis racket,fish,,tennisracket,,,tennisracket,,,,noun category,noun category,fishLargeLeft,,,,,,,,,,,,,,,,,,,N,1,5,tennisracketGreyLarge.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,pencilBlueLargeRight.png,fishLargeLeft.png,pencilBlueLargeLeft.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,N_List2_Order4_Item-f43_Cond9
3,4,f43,f43.mp3,9,,N,,The tennis racket,fish,,tennisracket,,,tennisracket,,,,noun category,noun category,fishLargeLeft,,,,,,,,,,,,,,,,,,,N,1,5,tennisracketGreyLarge.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,pencilBlueLargeRight.png,fishLargeLeft.png,pencilBlueLargeLeft.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,N_List3_Order4_Item-f43_Cond9
4,4,f43,f43.mp3,9,,N,,The tennis racket,fish,,tennisracket,,,tennisracket,,,,noun category,noun category,fishLargeLeft,,,,,,,,,,,,,,,,,,,N,1,5,tennisracketGreyLarge.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,pencilBlueLargeRight.png,fishLargeLeft.png,pencilBlueLargeLeft.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,N_List4_Order4_Item-f43_Cond9
5,4,f43,f43.mp3,9,,N,,The tennis racket,fish,,tennisracket,,,tennisracket,,,,noun category,noun category,fishLargeLeft,,,,,,,,,,,,,,,,,,,N,1,5,tennisracketGreyLarge.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,pencilBlueLargeRight.png,fishLargeLeft.png,pencilBlueLargeLeft.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,N_List5_Order4_Item-f43_Cond9
6,4,f43,f43.mp3,9,,N,,The tennis racket,fish,,tennisracket,,,tennisracket,,,,noun category,noun category,fishLargeLeft,,,,,,,,,,,,,,,,,,,N,1,5,tennisracketGreyLarge.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,pencilBlueLargeRight.png,fishLargeLeft.png,pencilBlueLargeLeft.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,N_List6_Order4_Item-f43_Cond9
7,4,f43,f43.mp3,9,,N,,The tennis racket,fish,,tennisracket,,,tennisracket,,,,noun category,noun category,fishLargeLeft,,,,,,,,,,,,,,,,,,,N,1,5,tennisracketGreyLarge.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,pencilBlueLargeRight.png,fishLargeLeft.png,pencilBlueLargeLeft.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,N_List7_Order4_Item-f43_Cond9
8,4,f43,f43.mp3,9,,N,,The tennis racket,fish,,tennisracket,,,tennisracket,,,,noun category,noun category,fishLargeLeft,,,,,,,,,,,,,,,,,,,N,1,5,tennisracketGreyLarge.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,pencilBlueLargeRight.png,fishLargeLeft.png,pencilBlueLargeLeft.png,pencilBlueLargeLeft.png,pencilRedLargeRight.png,N_List8_Order4_Item-f43_Cond9
